"ScatID","sample","scat.number","CollectionType","scatseason","CollectionDate","Easting","Northing","e","e.m","YEAR","YrsSinceDi","TREATMENT_","class","hja","logged","Amphibia","Aves","Mammalia","Reptilia","Gastropoda","Arachnida","myriapoda","Insecta","Streptophyta"
"F15-133","F15",133,"F","wet",2018-11-03 12:08:00,566280,4904029,2938.693013,895.9429917,NA,200,NA,3,0,0,1,0,1,0,0,0,0,0,0
"F15-134","F15",134,"F","wet",2018-11-03 12:17:00,566280,4904029,2938.693013,895.9429917,NA,200,NA,3,0,0,0,1,1,0,0,0,1,0,0
"F15-136","F15",136,"F","wet",2018-11-03 12:27:00,566280,4904029,2938.693013,895.9429917,NA,200,NA,3,0,0,0,0,1,0,0,0,0,0,4
"F15-137","F15",137,"F","wet",2018-11-03 12:40:00,566280,4904029,2938.693013,895.9429917,NA,200,NA,3,0,0,0,1,1,0,0,0,1,0,0
"F15-50","F15",50,"F","wet",2018-11-03 13:18:00,566270,4904080,2854.57209,870.296369,NA,200,NA,3,0,0,0,0,1,0,0,0,1,0,0
"F22-101","F22",101,"F","wet",2018-10-26 12:04:00,564633,4902082,2569.092594,783.2599373,NA,200,NA,3,0,0,1,0,1,0,0,0,0,1,0
"F22-143","F22",143,"F","wet",2018-11-06 14:42:00,564726,4901688,2720.749053,829.4966624,1980,38,"Commercial Thinning",1,0,1,0,0,0,0,0,0,1,0,0
"F22-18","F22",18,"F","wet",2018-10-28 13:36:00,564288,4901536,2851.512152,869.3634609,1980,38,"Commercial Thinning",1,0,1,2,0,1,0,0,0,1,0,0
"F22-196","F22",196,"F","wet",2018-11-14 11:44:00,565243,4900967,2778.477021,847.0966529,NA,200,NA,3,1,0,1,0,1,0,0,0,1,0,0
"F22-197","F22",197,"F","wet",2018-11-14 11:55:00,565243,4900967,2778.477021,847.0966529,NA,200,NA,3,1,0,1,0,0,0,0,0,0,0,4
